Unnamed: 0,ID,Question,Level,Count,Status,Answer:
49,E36,Why do we use OLS linear regression models?,Easy,0,Not Asked,"Ordinary Least Squares (OLS) linear regression models are used to model and understand the relationship between dependent and independent variables in a dataset. They are valuable for predicting outcomes, identifying relationships, and assessing the impact of independent variables on the dependent variable."
50,E37,"An analysis relates the age of used cars (in years) to their price (in USD), using data on a specific type of car. In a linear regression of the price on age, the slope parameter $\hat{\beta}$ is -700. Interpret the coefficient.",Easy,0,Not Asked,"In the linear regression of the price on age for used cars with a slope parameter $\hat{\beta}$ of -700, it means that, on average, the price of the car decreases by $700 USD for each additional year of age."
51,E38,"An analysis relates the size of apartments (in square meters) to their price (in USD), using data from one city. In a linear regression of the price on size, the slope parameter $\hat{\beta}$ is +600. Interpret the coefficient.",Easy,0,Not Asked,"In the linear regression of the price on the size of apartments with a slope parameter $\hat{\beta}$ of +600, it means that, on average, the price of apartments increases by $600 USD for each additional square meter in size."
52,E39,"In our linear regression model output, an R-squared $\R^2$ is reported, what does it mean and what do we use it for?",Easy,0,Not Asked,"The R-squared ($R^2$) in linear regression measures the proportion of the variance in the dependent variable that is explained by the independent variables. It indicates the goodness of fit of the model, with higher values indicating a better fit."
53,E40,What are dummy or indicator variables? Provide examples.,Easy,0,Not Asked,"Dummy or indicator variables are used to represent categorical data in regression analysis. They are binary variables (0 or 1) that indicate the presence or absence of a category. For example, in a regression model for car types, you might have a dummy variable ""SUV"" taking the value 1 if it's an SUV and 0 otherwise."
54,E41,How do we include nominal independent variables in regression analysis?,Easy,0,Not Asked,"To include nominal independent variables in regression analysis, you can create dummy variables for each category and include them in the model. For example, if you have a ""Color"" variable with categories ""Red,"" ""Blue,"" and ""Green,"" you would create three dummy variables (e.g., ""RedDummy,"" ""BlueDummy,"" ""GreenDummy"") and use them in the regression."
55,E42,What does correlation coefficient explain? Positive and negative correlation?,Easy,0,Not Asked,"The correlation coefficient measures the strength and direction of the linear relationship between two continuous variables. A positive correlation means that as one variable increases, the other tends to increase, while a negative correlation means that as one variable increases, the other tends to decrease."
56,E43,"In the linear regression model, why do we require variation in values of X? What happens if there is no variation in values of X? ",Easy,0,Not Asked,"In linear regression, we require variation in the values of the independent variable (X) to estimate the relationship with the dependent variable (Y). If there is no variation in the values of X (e.g., all X values are the same), it becomes impossible to estimate a meaningful relationship, and the model becomes unstable."
57,E44,What is an outlier and why can they be a problem in your analysis? Provide 1 or 2 ways in dealing with outliers.,Easy,0,Not Asked,"An outlier is an extreme data point that deviates significantly from the majority of the data. They can be a problem in analysis as they can distort the regression model and lead to incorrect conclusions. Dealing with outliers can involve removing them, transforming the data, or using robust statistical techniques."
58,E45,"In experimental design - what is a treatment group, and what is a control group?",Easy,0,Not Asked,"In experimental design, a treatment group is a group of subjects or items that are exposed to a specific treatment or intervention being studied. A control group is a group that is treated identically to the treatment group but does not receive the experimental treatment. The control group serves as a baseline for comparison to assess the impact of the treatment."
59,M1,"What is the empirical rule, and when can it be helpful?",Moderate,0,Not Asked,"The empirical rule, also known as the 68-95-99.7 rule, states that in a normal distribution, approximately 68% of the data falls within one standard deviation of the mean, about 95% falls within two standard deviations, and approximately 99.7% falls within three standard deviations. It can be helpful for quickly understanding the distribution of data and assessing the likelihood of values falling within certain ranges."
60,M2,Define central limit theorem. Why is the central limit theorem important in statistics?,Moderate,0,Not Asked,"The Central Limit Theorem (CLT) states that the sampling distribution of the sample mean approaches a normal distribution as the sample size increases, regardless of the shape of the population distribution. It is important in statistics because it allows us to make inferences about population parameters using the properties of the normal distribution, even when the population itself may not be normally distributed."
61,M3,What is the Law of large numbers?,Moderate,0,Not Asked,"The Law of Large Numbers (LLN) states that as the sample size increases, the sample mean approaches the true population mean. In other words, with a sufficiently large sample, the sample mean becomes a more accurate estimate of the population mean."
62,M4,Explain sampling distribution.,Moderate,0,Not Asked,"A sampling distribution is the distribution of a statistic (e.g., sample mean or sample proportion) computed from multiple random samples drawn from the same population. It provides information about the variability of the statistic and allows for statistical inference."
63,M5,"Interpret the formula for z-score; $z = \frac{\bar{x} - \mu}{\frac{\sigma}{\sqrt{n}}}$. What are the numerator and denominator measuring? What does the z-score tell us about the sample mean, say if the value of z=1.5 or z=2?",Moderate,0,Not Asked,"The formula for the z-score, z = (x? - ?) / (? / ?n), calculates how many standard deviations (?) a sample mean (x?) is away from the population mean (?), with n representing the sample size. The numerator measures the difference between the sample mean and the population mean, while the denominator measures the standard error of the sample mean. A z-score of 1.5 or 2 indicates that the sample mean is 1.5 or 2 standard deviations above the population mean, respectively."
64,M6,Design a study (or explain a study) where you will apply difference of means test to compare two independent samples. Also state the hypothesis (You can use an example from lecture slides).,Moderate,0,Not Asked,"In a study comparing two independent samples using a difference of means test, you could investigate whether a new teaching method improves students' test scores compared to a traditional teaching method. The hypothesis could be: Null Hypothesis (H0): The mean test scores of students taught using the new method are equal to the mean test scores of students taught using the traditional method. Alternative Hypothesis (H1 or Ha): The mean test scores of students taught using the new method are not equal to the mean test scores of students taught using the traditional method."
65,M7,Can you give an example of when to run a paired t-test and when to run an independent t-test?,Moderate,0,Not Asked,"You would run a paired t-test when you have two related groups or measurements, such as before and after measurements on the same individuals. An independent t-test is used when you are comparing the means of two separate and unrelated groups, like comparing test scores between two different schools."
66,M8,"Explain Chi-square goodness of fit tests application, provide an example.",Moderate,0,Not Asked,"Chi-square goodness of fit tests are used to determine if observed categorical data fits an expected distribution. For example, you might use it to test whether the observed distribution of eye colors in a population matches the expected distribution based on a genetic model."
67,M9,Explain Type I and Type II errors. Provide an example.,Moderate,0,Not Asked,"Type I error occurs when you reject a true null hypothesis (false positive), while Type II error occurs when you fail to reject a false null hypothesis (false negative). An example of Type I error is convicting an innocent person (rejecting the null hypothesis of innocence), and an example of Type II error is failing to convict a guilty person (failing to reject the null hypothesis of innocence)."
68,M10,"In regression diagnostics, what does the following figure tell us: Histogram of residuals.",Moderate,0,Not Asked,"A histogram of residuals in regression diagnostics tells us about the distribution of the differences between observed and predicted values (residuals). It helps assess whether the residuals are approximately normally distributed, which is an assumption of linear regression."
69,M11,"In regression diagnostics, what does the following figure tell us: Plot of residuals versus predicted values of y.",Moderate,0,Not Asked,"A plot of residuals versus predicted values of y in regression diagnostics helps identify patterns or trends in the residuals. It is used to check for heteroscedasticity, which is when the variability of the residuals changes across different levels of the independent variable."
70,M12,Explain Heteroskedasticity.,Moderate,0,Not Asked,"Heteroskedasticity is a statistical term that describes the situation where the variability of the residuals in a regression model is not constant across different levels of the independent variable(s). In other words, the spread or dispersion of the residuals changes as the values of the predictor(s) change."
71,M13,What is multicollinearity? How can we address this issue?,Moderate,0,Not Asked,"Multicollinearity refers to a situation in which two or more independent variables in a regression model are highly correlated with each other. It can be addressed by removing one of the correlated variables, using dimensionality reduction techniques, or combining the correlated variables into a composite variable."
72,M14,How do you interpret regression coefficients in a logistic regression?,Moderate,0,Not Asked,"In logistic regression, regression coefficients represent the change in the log-odds of the dependent variable for a one-unit change in the independent variable. They indicate how the probability of the binary outcome changes as the independent variable(s) change."
73,M15,"Provide an example of experimental design; what is the outcome of interest, explain treatment and control groups in the study.",Moderate,0,Not Asked,"An example of experimental design might involve testing a new drug's effectiveness for reducing blood pressure. The outcome of interest is blood pressure reduction, with the treatment group receiving the new drug, and the control group receiving a placebo. The study aims to compare the drug's effect on blood pressure between the two groups."
74,M16,What is the difference between a correlation matrix and a linear regression model?,Moderate,0,Not Asked,"A correlation matrix shows the pairwise correlations between variables, indicating the strength and direction of linear relationships. A linear regression model, on the other hand, examines the relationship between a dependent variable and one or more independent variables, providing coefficients that represent the effect of the independent variables on the dependent variable."
75,M17,Why cannot we use linear regression models when dependent variables is binary (0/1) or choice variable?,Moderate,0,Not Asked,"Linear regression models are not suitable for dependent variables that are binary (0/1) or choice variables because the assumptions of linearity, constant variance, and normality of residuals do not hold. Instead, logistic regression models are typically used for binary outcomes."
76,M18,Can we assume that the regression model with the highest number of predictors is the best model? Why or why not.,Moderate,0,Not Asked,"We cannot assume that the regression model with the highest number of predictors is the best model because including more predictors can lead to overfitting, where the model performs well on the training data but poorly on new data. The choice of the best model should consider model fit, simplicity, and predictive performance on independent data."
77,M19,What is the advantage of using multiple regression model as compared to a simple regression model?,Moderate,0,Not Asked,"The advantage of using a multiple regression model compared to a simple regression model is that it allows for the consideration of multiple independent variables simultaneously, capturing the potential joint effects of these variables on the dependent variable. This can lead to a more comprehensive understanding of the relationships in the data and improved predictive accuracy."
